season,player,club,goals,games
1992-93,Teddy Sheringham,Tottenham,22,42
1993-94,Andy Cole,Newcastle United,34,40
1994-95,Alan Shearer,Blackburn,34,42
1995-96,Alan Shearer,Blackburn,31,35
1996-97,Alan Shearer,Newcastle United,25,31
1997-98,Chris Sutton,Blackburn,18,35
1998-99,Michael Owen,Liverpool,18,30
1999-00,Kevin Phillips,Sunderland,30,36
2000-01,Jimmy Floyd Hasselbaink,Chelsea,23,35
2001-02,Thierry Henry,Arsenal,24,33
2002-03,Ruud van Nistelrooy,Manchester United,25,34
2003-04,Thierry Henry,Arsenal,30,37
2004-05,Thierry Henry,Arsenal,25,32
2005-06,Thierry Henry,Arsenal,27,32
2006-07,Didier Drogba,Chelsea,20,36
2007-08,Cristiano Ronaldo,Manchester United,31,34
2008-09,Nicolas Anelka,Chelsea,19,32
2009-10,Didier Drogba,Chelsea,29,32
2010-11,Carlos Tevez,Manchester City,20,31
2011-12,Robin van Persie,Arsenal,30,38
2012-13,Robin van Persie,Manchester United,26,36
2013-14,Luis Suarez,Liverpool,31,33
2014-15,Sergio Aguero,Manchester City,26,33
2015-16,Harry Kane,Tottenham,25,38
2016-17,Harry Kane,Tottenham,29,30
2017-18,Mohamed Salah,Liverpool,32,36
2018-19,Pierre-Emerick Aubameyang,Arsenal,22,36
2019-20,Jamie Vardy,Leicester City,23,35
2020-21,Harry Kane,Tottenham,23,35
2021-22,Mohamed Salah,Liverpool,23,35
2022-23,Erling Haaland,Manchester City,36,35
2023-24,Erling Haaland,Manchester City,27,31
2024-25,Mohamed Salah,Liverpool,29,33
